,Bitcoin_Volume,Litecoin_Close,Litecoin_Volume,Dogecoin_Close,Dogecoin_Volume,Japan_Gold(trend),Japan_S&P500(trend),DE_Ethereum(trend),DE_S&P500(trend),IN_Bitcoin(trend),IN_Ethereum(trend),IN_S&P500(trend),US_Ethereum(trend),US_S&P500(trend),Date,United States_CPI,Eurozone_CPI,China_CPI,Japan_CPI,date,Ukraine_Russia_War,Israil_Palestin_War,US_Election,China_Election,Japan_Election,Germany_Election,India_Election
0,2.13412010872255e-05,8.48282879013786e-05,6.31624658640322e-05,0.0005513799102729,6.95560040194998e-05,69,3,0,0,0,0,0,0,3,2015-10-01,237.733,100.45,100.1,100.28,2015-10-01,0,0,0,0,0,0,0
1,1.90306480735761e-05,6.2089449856326e-05,3.47175986777832e-05,0.0005513799102729,6.95560040194998e-05,67,0,0,0,1,0,0,0,2,2015-10-02,237.733,100.45,100.1,100.28,2015-10-02,0,0,0,0,0,0,0
2,9.92634546016816e-06,0.0001582610444819,3.02482705432109e-05,0.0005513799102729,6.95560040194998e-05,69,2,0,0,1,0,0,0,1,2015-10-03,237.733,100.45,100.1,100.28,2015-10-03,0,0,0,0,0,0,0
3,0.0,0.0001172678447635,2.63958786387043e-05,0.0005513799102729,6.95560040194998e-05,73,3,0,0,0,0,0,0,1,2015-10-04,237.733,100.45,100.1,100.28,2015-10-04,0,0,0,0,0,0,0
4,2.9453638484144e-05,0.0001215185538933,4.27692805994052e-05,0.0005513799102729,6.95560040194998e-05,76,0,0,0,0,0,0,0,2,2015-10-05,237.733,100.45,100.1,100.28,2015-10-05,0,0,0,0,0,0,0
5,4.14187071916498e-05,0.0004603616841295,8.14293579872923e-05,0.0005513799102729,6.95560040194998e-05,81,6,0,0,1,0,0,0,3,2015-10-06,237.733,100.45,100.1,100.28,2015-10-06,0,0,0,0,0,0,0
6,2.84942560699181e-05,0.0002325797540404,6.60112318448601e-05,0.0005513799102729,6.95560040194998e-05,69,0,0,1,0,0,0,0,2,2015-10-07,237.733,100.45,100.1,100.28,2015-10-07,0,0,0,0,0,0,0
7,1.57179721164066e-05,0.0002467916832489,3.50377097204982e-05,0.0005513799102729,6.95560040194998e-05,59,0,0,0,1,0,0,0,3,2015-10-08,237.733,100.45,100.1,100.28,2015-10-08,0,0,0,0,0,0,0
8,1.24064359066849e-05,0.0003613736916162,2.61534612136483e-05,0.0005513799102729,6.95560040194998e-05,87,4,0,0,0,0,0,0,3,2015-10-09,237.733,100.45,100.1,100.28,2015-10-09,0,0,0,0,0,0,0
9,8.30220534698509e-06,0.0003562102954888,2.74189557542147e-05,0.0005513799102729,6.95560040194998e-05,73,0,0,0,0,0,0,0,1,2015-10-10,237.733,100.45,100.1,100.28,2015-10-10,0,0,0,0,0,0,0
