Date,Bitcoin_Close,Bitcoin_Volume,Litecoin_Close,Litecoin_Volume,Dogecoin_Close,Dogecoin_Volume,SP500_Close,SP500_Volume,Gold_Close,Gold_Volume,Ether_Close,Ethereum_Volume,MSCI_Close,MSCI_Volume,Japan_Gold(trend),Japan_S&P500(trend),DE_Ethereum(trend),DE_S&P500(trend),IN_Bitcoin(trend),IN_Ethereum(trend),IN_S&P500(trend),US_Ethereum(trend),US_S&P500(trend),United States_CPI,Germany_CPI,China_CPI,Japan_CPI,Japan_Election,US_Election,Germany_Election,India_Election,China_Election,Ukraine_Russia_War,Israil_Palestin_War,BTC-Returns
2015-11-04,411.56298828125,263900000,4.230219841003418,22553800,0.0014149999478831887,6259550.0,2102.31005859375,4078870000.0,1106.5,141.0,320.8840026855469,893249984.0,69.45999908447266,974400.0,77.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.019991331284303193
2015-11-05,386.35400390625,151824992,3.961639881134033,13017300,0.0014149999478831887,6259550.0,2099.929931640625,4051890000.0,1104.4000244140625,84.0,320.8840026855469,893249984.0,68.62000274658203,1660500.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.0632080206022696
2015-11-06,374.4700012207031,122687000,3.5480101108551025,8761900,0.0014149999478831887,6259550.0,2099.199951171875,4369020000.0,1087.5999755859375,78.0,320.8840026855469,893249984.0,67.79000091552734,2024700.0,78.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.031242361543841746
2015-11-07,386.48199462890625,56625100,3.598870038986206,2638500,0.0014149999478831887,6259550.0,2088.8900146484375,4125685000.0,1087.75,41.5,320.8840026855469,893249984.0,67.13999938964844,2489550.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.03157358504810137
2015-11-08,373.3680114746094,51817600,3.41907000541687,2399540,0.0014149999478831887,6259550.0,2083.7350463867188,4004017500.0,1087.8250122070312,23.25,320.8840026855469,893249984.0,66.81499862670898,2721975.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.03452072206175405
2015-11-09,380.2569885253906,68224400,3.396620035171509,4195940,0.0014149999478831887,6259550.0,2078.580078125,3882350000.0,1087.9000244140625,5.0,320.8840026855469,893249984.0,66.48999786376953,2954400.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.018282750549876603
2015-11-10,336.8190002441406,95797904,3.115149974822998,5565520,0.0014149999478831887,6259550.0,2081.719970703125,3821440000.0,1088.199951171875,18.0,320.8840026855469,893249984.0,67.25,3264700.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.12130161493200742
2015-11-11,311.0840148925781,107070000,2.9693899154663086,3648510,0.0014149999478831887,6259550.0,2075.0,3692410000.0,1084.699951171875,15.0,320.8840026855469,893249984.0,67.29000091552734,1058200.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.07948267475756055
2015-11-12,338.1520080566406,78477800,3.278700113296509,4133180,0.0014149999478831887,6259550.0,2045.969970703125,4016370000.0,1080.800048828125,4.0,320.8840026855469,893249984.0,66.7699966430664,1298600.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.08343250231798294
2015-11-13,336.75299072265625,52003000,3.225990056991577,2247490,0.0014149999478831887,6259550.0,2023.0400390625,4278750000.0,1080.800048828125,23.0,320.8840026855469,893249984.0,66.20999908447266,1818100.0,70.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.004145825976570983
2015-11-14,332.906005859375,38612000,3.194610118865967,1293740,0.0014149999478831887,6259550.0,2038.114990234375,4009995000.0,1082.25,17.0,320.8840026855469,893249984.0,67.11999893188477,1603650.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.011489510937649605
2015-11-15,320.1659851074219,44213100,3.0657999515533447,1750230,0.0014149999478831887,6259550.0,2045.6524658203125,3875617500.0,1082.9749755859375,14.0,320.8840026855469,893249984.0,67.57499885559082,1496425.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.039020620675381146
2015-11-16,330.7510070800781,47980100,3.1894500255584717,1578010,0.0014149999478831887,6259550.0,2053.18994140625,3741240000.0,1083.699951171875,11.0,320.8840026855469,893249984.0,68.02999877929688,1389200.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.032526283053829985
2015-11-17,335.093994140625,51001600,3.2019801139831543,1607020,0.0014149999478831887,6259550.0,2050.43994140625,4427350000.0,1068.699951171875,6.0,320.8840026855469,893249984.0,69.19000244140625,1664900.0,64.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.013045224166090108
2015-11-18,334.5899963378906,43783800,3.1855099201202393,1425920,0.0014149999478831887,6259550.0,2083.580078125,3926390000.0,1068.800048828125,5.0,320.8840026855469,893249984.0,69.4000015258789,1391800.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.0015051812647568497
2015-11-19,326.14898681640625,45011100,3.1336100101470947,1448970,0.0014149999478831887,6259550.0,2081.239990234375,3628110000.0,1078.0,10.0,320.8840026855469,893249984.0,69.41999816894531,434300.0,71.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.025551598987974877
2015-11-20,322.0220031738281,53152900,3.115570068359375,1698240,0.0014149999478831887,6259550.0,2089.169921875,3929600000.0,1076.4000244140625,5.0,320.8840026855469,893249984.0,69.33999633789062,412100.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.012734415693713252
2015-11-21,326.927001953125,28200500,3.1502699851989746,1057060,0.0014149999478831887,6259550.0,2087.8800048828125,3758790000.0,1071.6000366210938,31.0,320.8840026855469,893249984.0,69.42999649047852,575350.0,77.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.01511703431131739
2015-11-22,324.5360107421875,23439400,3.1368300914764404,1070770,0.0014149999478831887,6259550.0,2087.2350463867188,3673385000.0,1069.2000427246094,44.0,320.8840026855469,893249984.0,69.47499656677246,656975.0,69.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.007340407360659995
2015-11-23,323.0459899902344,27478900,3.1240999698638916,1389260,0.0014149999478831887,6259550.0,2086.590087890625,3587980000.0,1066.800048828125,57.0,320.8840026855469,893249984.0,69.5199966430664,738600.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.00460180604072935
2015-11-24,320.0459899902344,29362600,3.107830047607422,1510060,0.0014149999478831887,6259550.0,2089.139892578125,3884930000.0,1074.300048828125,222.0,320.8840026855469,893249984.0,70.08000183105469,836000.0,82.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.00932999277102109
2015-11-25,328.20599365234375,41666900,3.34443998336792,2877300,0.0014149999478831887,6259550.0,2088.8701171875,2852940000.0,1070.5,148662.0,320.8840026855469,893249984.0,69.95999908447266,285000.0,78.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.02517673649736185
2015-11-26,352.6839904785156,106105000,3.60834002494812,8700000,0.0014149999478831887,6259550.0,2089.4901123046875,2159890000.0,1063.3499755859375,100397.5,320.8840026855469,893249984.0,70.28499984741211,205050.0,77.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.07193100419943832
2015-11-27,358.0419921875,55179100,3.5786099433898926,2780650,0.0014149999478831887,6259550.0,2090.110107421875,1466840000.0,1056.199951171875,52133.0,320.8840026855469,893249984.0,70.61000061035156,125100.0,91.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.01507783125161044
2015-11-28,357.3810119628906,36816600,3.522589921951294,1691790,0.0014149999478831887,6259550.0,2085.260009765625,2870935000.0,1061.0,28367.0,320.8840026855469,893249984.0,70.3650016784668,772900.0,100.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,-0.0018478030727120398
2015-11-29,371.29400634765625,40409300,3.6697299480438232,2720390,0.0014149999478831887,6259550.0,2082.8349609375,3572982500.0,1063.4000244140625,16484.0,320.8840026855469,893249984.0,70.24250221252441,1096800.0,95.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.03819174564629346
2015-11-30,377.3210144042969,71701600,3.621220111846924,3339320,0.0014149999478831887,6259550.0,2080.409912109375,4275030000.0,1065.800048828125,4601.0,320.8840026855469,893249984.0,70.12000274658203,1420700.0,81.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,238.017,99.71662,100.1,99.87274,0,0,0,0,0,0,0,0.01610210351494601
2015-12-01,362.4880065917969,60452200,3.4349000453948975,2841630,0.0014149999478831887,6259550.0,2102.6298828125,3712120000.0,1063.800048828125,3441.0,320.8840026855469,893249984.0,70.55999755859375,636600.0,91.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,237.761,99.71662,100.6,99.87274,0,0,0,0,0,0,0,-0.040104933740255255
2015-12-02,359.18701171875,54160500,3.342250108718872,2452500,0.0014149999478831887,6259550.0,2079.510009765625,3950640000.0,1054.199951171875,503.0,320.8840026855469,893249984.0,70.38999938964844,330900.0,70.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,237.761,99.71662,100.6,99.87274,0,0,0,0,0,0,0,-0.009148211621262448
2015-12-03,361.0459899902344,50714900,3.3774900436401367,1943430,0.0014149999478831887,6259550.0,2049.6201171875,4306490000.0,1061.699951171875,1161.0,320.8840026855469,893249984.0,69.63999938964844,619900.0,86.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,237.761,99.71662,100.6,99.87274,0,0,0,0,0,0,0,0.005162169451390142
