,Date,Japan_Gold(trend),Japan_S&P500(trend),DE_Ethereum(trend),DE_S&P500(trend),IN_Bitcoin(trend),IN_Ethereum(trend),IN_S&P500(trend),US_Ethereum(trend),US_S&P500(trend)
0,2015-11-03 00:00:00,85,0,0,0,1,0,0,0,3
1,2015-11-04 00:00:00,77,0,0,1,1,0,0,0,2
2,2015-11-05 00:00:00,78,0,0,0,1,0,0,0,2
3,2015-11-06 00:00:00,78,3,0,0,1,0,0,0,2
4,2015-11-07 00:00:00,65,0,0,0,1,0,0,0,1
5,2015-11-08 00:00:00,73,0,0,0,1,0,0,0,1
6,2015-11-09 00:00:00,72,0,0,0,1,0,0,0,2
7,2015-11-10 00:00:00,75,0,0,1,1,0,0,0,2
8,2015-11-11 00:00:00,73,0,0,0,1,0,0,0,2
9,2015-11-12 00:00:00,78,0,0,0,1,0,0,0,2
10,2015-11-13 00:00:00,70,7,0,0,1,0,0,0,2
11,2015-11-14 00:00:00,72,0,0,0,1,0,0,0,1
12,2015-11-15 00:00:00,63,0,0,0,1,0,0,0,1
13,2015-11-16 00:00:00,83,0,0,0,1,0,0,0,2
14,2015-11-17 00:00:00,64,3,0,0,1,0,0,0,2
15,2015-11-18 00:00:00,76,0,0,0,1,0,0,0,2
16,2015-11-19 00:00:00,71,2,0,0,1,0,0,0,2
17,2015-11-20 00:00:00,66,0,0,0,1,0,0,0,2
18,2015-11-21 00:00:00,77,4,0,0,1,0,0,0,1
19,2015-11-22 00:00:00,69,2,0,1,1,0,0,0,0
20,2015-11-23 00:00:00,90,0,0,0,1,0,0,0,2
21,2015-11-24 00:00:00,82,2,0,1,1,0,0,0,2
22,2015-11-25 00:00:00,78,4,0,0,1,0,0,0,1
23,2015-11-26 00:00:00,77,0,0,0,1,0,0,0,1
24,2015-11-27 00:00:00,91,0,0,1,1,0,0,0,1
25,2015-11-28 00:00:00,100,4,0,0,1,0,0,0,1
26,2015-11-29 00:00:00,95,0,0,0,1,0,0,0,1
27,2015-11-30 00:00:00,81,3,0,0,1,0,0,0,1
28,2015-12-01 00:00:00,91,2,0,0,1,0,0,0,2
29,2015-12-02 00:00:00,70,0,0,1,1,0,0,0,2
30,2015-12-03 00:00:00,86,2,0,0,1,0,0,0,2
31,2015-12-04 00:00:00,69,4,0,0,1,0,0,0,2
32,2015-12-05 00:00:00,97,0,0,0,1,0,0,0,1
33,2015-12-06 00:00:00,79,3,0,0,1,0,0,0,1
34,2015-12-07 00:00:00,78,2,0,0,1,0,0,0,2
35,2015-12-08 00:00:00,73,0,0,0,1,0,0,0,2
36,2015-12-09 00:00:00,78,0,0,0,2,0,0,0,2
37,2015-12-10 00:00:00,78,6,0,0,1,0,0,0,2
38,2015-12-11 00:00:00,64,0,0,1,1,0,0,0,2
39,2015-12-12 00:00:00,73,0,0,1,1,0,0,0,1
40,2015-12-13 00:00:00,91,0,0,0,1,0,0,0,1
41,2015-12-14 00:00:00,79,0,0,0,1,0,0,0,2
42,2015-12-15 00:00:00,73,3,0,0,1,0,0,0,2
43,2015-12-16 00:00:00,83,0,0,1,1,0,0,0,3
44,2015-12-17 00:00:00,82,0,1,0,1,0,0,0,2
45,2015-12-18 00:00:00,83,0,0,1,1,0,0,0,2
46,2015-12-19 00:00:00,92,0,1,0,1,0,0,0,1
47,2015-12-20 00:00:00,89,6,0,0,1,0,0,0,1
48,2015-12-21 00:00:00,67,0,0,0,1,0,0,0,2
49,2015-12-22 00:00:00,67,0,0,0,1,0,0,0,2
50,2015-12-23 00:00:00,76,0,0,0,1,0,0,0,2
51,2015-12-24 00:00:00,74,0,0,0,1,0,0,0,2
52,2015-12-25 00:00:00,81,0,0,1,1,0,0,0,1
53,2015-12-26 00:00:00,65,0,0,0,1,0,0,0,1
54,2015-12-27 00:00:00,85,0,0,0,1,0,0,0,1
55,2015-12-28 00:00:00,86,0,0,1,1,0,0,0,2
56,2015-12-29 00:00:00,71,2,0,0,1,0,0,0,2
57,2015-12-30 00:00:00,73,0,0,0,1,0,0,0,2
58,2015-12-31 00:00:00,66,0,1,1,1,0,0,0,2
59,2016-01-01 00:00:00,76,0,0,0,1,0,0,0,1
60,2016-01-02 00:00:00,90,0,0,0,1,0,0,0,1
61,2016-01-03 00:00:00,96,3,0,0,1,0,0,0,1
62,2016-01-04 00:00:00,69,5,0,0,1,0,0,0,3
63,2016-01-05 00:00:00,89,3,0,0,1,0,0,0,3
64,2016-01-06 00:00:00,72,0,0,0,2,0,0,0,2
65,2016-01-07 00:00:00,74,3,0,0,2,0,0,0,4
66,2016-01-08 00:00:00,74,0,0,0,1,0,0,0,4
67,2016-01-09 00:00:00,75,0,0,0,1,0,0,0,1
68,2016-01-10 00:00:00,74,0,1,0,1,0,0,0,1
69,2016-01-11 00:00:00,80,4,0,0,2,0,0,0,3
70,2016-01-12 00:00:00,83,0,0,1,1,0,0,0,3
71,2016-01-13 00:00:00,74,0,0,0,1,0,0,0,4
72,2016-01-14 00:00:00,78,0,0,1,2,0,0,0,4
73,2016-01-15 00:00:00,86,0,1,1,1,0,0,0,4
74,2016-01-16 00:00:00,90,0,0,0,1,0,0,0,2
75,2016-01-17 00:00:00,64,0,0,1,2,0,0,0,1
76,2016-01-18 00:00:00,70,2,0,0,1,0,0,0,2
77,2016-01-19 00:00:00,75,0,0,1,1,0,0,0,3
78,2016-01-20 00:00:00,80,0,0,1,1,0,0,0,5
79,2016-01-21 00:00:00,76,0,0,0,1,0,0,0,4
80,2016-01-22 00:00:00,66,0,0,0,1,0,0,0,4
81,2016-01-23 00:00:00,76,0,1,0,1,0,0,0,1
82,2016-01-24 00:00:00,74,0,0,0,2,0,0,0,1
83,2016-01-25 00:00:00,76,0,0,1,2,0,0,0,3
84,2016-01-26 00:00:00,82,3,0,0,1,0,0,0,3
85,2016-01-27 00:00:00,67,0,0,1,1,0,0,0,3
86,2016-01-28 00:00:00,80,0,0,0,1,0,0,0,3
87,2016-01-29 00:00:00,84,0,1,1,1,0,0,0,3
88,2016-01-30 00:00:00,81,8,0,0,1,0,0,0,1
89,2016-01-31 00:00:00,72,0,0,0,1,0,0,0,1
90,2016-02-01 00:00:00,72,0,0,0,1,0,0,0,3
91,2016-02-02 00:00:00,77,0,0,0,1,0,0,0,3
92,2016-02-03 00:00:00,78,0,1,0,1,0,0,0,3
93,2016-02-04 00:00:00,72,0,0,0,1,0,0,0,3
94,2016-02-05 00:00:00,70,0,0,0,1,0,0,0,3
95,2016-02-06 00:00:00,84,0,1,1,1,0,0,0,1
96,2016-02-07 00:00:00,62,0,1,0,1,0,0,0,1
97,2016-02-08 00:00:00,73,0,1,0,1,0,0,0,3
98,2016-02-09 00:00:00,89,0,1,1,1,0,0,0,3
99,2016-02-10 00:00:00,71,0,1,1,2,0,0,0,3
100,2016-02-11 00:00:00,74,0,1,1,1,0,0,0,4
101,2016-02-12 00:00:00,79,0,1,1,1,0,0,0,4
102,2016-02-13 00:00:00,72,0,1,0,1,0,0,0,1
103,2016-02-14 00:00:00,62,0,1,1,1,0,0,0,1
104,2016-02-15 00:00:00,77,0,1,0,1,0,0,0,1
105,2016-02-16 00:00:00,78,9,1,0,2,0,0,0,3
106,2016-02-17 00:00:00,93,0,1,0,2,0,0,0,3
107,2016-02-18 00:00:00,86,0,1,0,1,0,0,0,3
108,2016-02-19 00:00:00,87,0,1,1,1,0,0,0,3
109,2016-02-20 00:00:00,100,0,1,0,1,0,0,0,1
110,2016-02-21 00:00:00,59,0,0,0,1,0,0,0,1
111,2016-02-22 00:00:00,84,0,1,0,1,0,0,0,2
112,2016-02-23 00:00:00,72,2,0,1,1,0,0,0,3
113,2016-02-24 00:00:00,83,2,1,0,1,0,0,0,3
114,2016-02-25 00:00:00,70,0,1,0,1,0,0,0,3
115,2016-02-26 00:00:00,78,0,0,1,1,0,0,0,2
116,2016-02-27 00:00:00,73,0,0,0,1,0,0,0,1
117,2016-02-28 00:00:00,73,0,1,0,1,0,0,0,1
118,2016-02-29 00:00:00,80,0,0,0,1,0,0,0,2
119,2016-03-01 00:00:00,76,0,0,1,1,0,0,0,3
120,2016-03-02 00:00:00,67,0,1,0,1,0,0,1,3
121,2016-03-03 00:00:00,72,0,1,1,1,0,0,1,3
122,2016-03-04 00:00:00,83,0,1,0,1,0,0,1,3
123,2016-03-05 00:00:00,63,0,2,0,2,0,0,1,1
124,2016-03-06 00:00:00,71,0,1,0,1,0,0,1,1
125,2016-03-07 00:00:00,79,2,1,0,1,0,0,1,3
126,2016-03-08 00:00:00,72,0,1,0,1,0,0,0,3
127,2016-03-09 00:00:00,90,4,1,0,2,0,0,0,2
128,2016-03-10 00:00:00,69,0,1,0,2,0,0,0,2
129,2016-03-11 00:00:00,61,0,1,1,1,0,0,0,3
130,2016-03-12 00:00:00,75,0,1,0,1,0,0,1,1
131,2016-03-13 00:00:00,70,0,2,0,1,0,0,1,1
132,2016-03-14 00:00:00,77,2,2,0,2,0,0,1,3
133,2016-03-15 00:00:00,74,0,2,0,1,0,0,1,2
134,2016-03-16 00:00:00,75,0,1,1,1,0,0,0,3
135,2016-03-17 00:00:00,74,0,1,1,2,0,0,0,3
136,2016-03-18 00:00:00,78,3,1,0,1,0,0,1,2
137,2016-03-19 00:00:00,71,2,1,0,1,0,0,0,1
138,2016-03-20 00:00:00,73,0,1,0,1,0,0,0,1
139,2016-03-21 00:00:00,71,0,1,0,1,0,0,0,2
140,2016-03-22 00:00:00,76,0,1,1,1,0,0,0,3
141,2016-03-23 00:00:00,81,0,1,0,1,0,0,0,3
142,2016-03-24 00:00:00,71,0,0,0,1,0,0,0,3
143,2016-03-25 00:00:00,72,0,1,1,1,0,0,0,1
144,2016-03-26 00:00:00,79,0,1,0,1,0,0,0,1
145,2016-03-27 00:00:00,76,0,0,0,1,0,0,0,1
146,2016-03-28 00:00:00,77,0,1,1,1,0,0,1,2
147,2016-03-29 00:00:00,73,0,1,1,1,0,0,1,2
